"['S', 'D']","(2620, 2304)",poly,2,0.803,1.0,0.207,AdvMLData/subset_20000
"['S', 'D']","(4833, 2304)",poly,2,0.832,1.0,0.527,AdvMLData/all_images
"['D', 'S']","(9666, 2304)",poly,2,0.857,1.0,1.368,perturbed_images/all_images
"['S', 'F']","(18918, 2304)",poly,2,0.695,0.999,12.802,perturbed_images/all_images
"['S', 'N']","(21276, 2304)",poly,2,0.741,1.0,13.384,perturbed_images/all_images
"['S', 'U']","(21048, 2304)",poly,2,0.739,1.0,35.496,perturbed_images/all_images
"['D', 'F']","(11856, 2304)",poly,2,0.823,1.0,2.086,perturbed_images/all_images
"['D', 'N']","(14214, 2304)",poly,2,0.848,1.0,2.317,perturbed_images/all_images
"['D', 'U']","(13986, 2304)",poly,2,0.835,1.0,2.586,perturbed_images/all_images
"['F', 'N']","(23466, 2304)",poly,2,0.659,0.999,42.753,perturbed_images/all_images
"['F', 'U']","(23238, 2304)",poly,2,0.632,0.999,46.954,perturbed_images/all_images
"['N', 'U']","(25596, 2304)",poly,2,0.635,1.0,89.848,perturbed_images/all_images
"['H', 'D']","(298, 2304)",rbf,3,0.939,1.0,0.006,AdvMLData/subset_1000
"['H', 'D']","(2706, 2304)",rbf,3,0.934,1.0,0.409,AdvMLData/subset_10000
"['H', 'D']","(5362, 2304)",rbf,3,0.931,1.0,1.53,AdvMLData/subset_20000
"['H', 'D']","(9927, 2304)",rbf,3,0.946,1.0,5.012,AdvMLData/all_images
"['D', 'H']","(19854, 2304)",rbf,3,0.944,1.0,40.659,perturbed_images/all_images
"['S', 'D']","(131, 2304)",rbf,3,0.886,1.0,0.005,AdvMLData/subset_1000
"['S', 'D']","(1292, 2304)",rbf,3,0.89,0.999,0.119,AdvMLData/subset_10000
"['S', 'D']","(2620, 2304)",rbf,3,0.891,0.999,0.384,AdvMLData/subset_20000
"['S', 'D']","(4833, 2304)",rbf,3,0.887,1.0,1.18,AdvMLData/all_images
"['D', 'S']","(9666, 2304)",rbf,3,0.888,1.0,4.437,perturbed_images/all_images
"['D', 'N']","(185, 2304)",rbf,3,0.839,1.0,0.007,AdvMLData/subset_1000
"['D', 'N']","(1904, 2304)",rbf,3,0.925,1.0,0.232,AdvMLData/subset_10000
